,rank,name,year,Yahoo_rating,country,genres,budget,revenue,keywords,MLens_rating,tmdb_id
336,337,Mary Poppins,1964,4.22,US,Comedy/Family/Fantasy,6000000.0,102272727.0,"london, england/dancing/sibling relationship/parent child relationship/bank/famous score/confidence/nanny/laughing/magic/penguin/musical/fox hunt/kite flying/live action and animation/1910s/chimney sweep/suffragettes",3.7068965517241383,433
337,338,Once Upon A・ Time in America,1984,4.22,US,Drama/Crime,20000000.0,5300000.0,life and death/corruption/street gang/rape/sadistic/lovesickness/sexual abuse/regret/prohibition era/money laundering/opium/gangster/mafia boss/murder/memory/torture/new york city/brooklyn bridge/childhood friends/1920s/1960s/1930s,3.8524590163934422,311
338,339,Mississippi Burning,1988,4.22,US,Thriller/Crime/Drama,15000000.0,34604000.0,suicide/ku klux klan/mississippi/sheriff/shotgun/deputy sheriff/fbi/motel/funeral/u.s. navy/burning cross/police/rope/based on a true story/murder/racism/violence,3.8445595854922283,1632
339,340,BOY A,2007,4.22,GB,Crime/Drama,0.0,1200398.0,child abuse/rape/based on novel or book/parent child relationship/rehabilitation/based on a true story/coming of age/criminal/incest/childhood/haunted by the past/moral dilemma/violent youth,3.7291666666666665,14748
340,341,Last Waltz,1978,4.22,US,Documentary/Music,0.0,321952.0,1970s/music,3.94,13963
341,342,Z,1969,4.22,DZ,Drama/History/Thriller,0.0,83305.0,assassination/cia/greece/politics/government/police/cover-up/political assassination/right wing/rally,3.983333333333333,2721
342,343,Stand by Me,1986,4.21,US,Crime/Drama,8000000.0,52287414.0,based on novel or book/oregon/friendship/coming of age/railroad track/story within the story/flipping coin/campfire story/normandy beach/child/1950s/boys/coin toss,4.037962962962963,235
343,344,gifted,2017,4.21,US,Drama/Family/Comedy,7000000.0,40343446.0,cat/intellectually gifted/child prodigy/mathematics/teacher/school/prize/child custody/gifted children/custody hearing,,400928
344,345,Titanic 3D,2012,4.21,MX,Documentary,13000000.0,17040871.0,diving/expedition/shipwreck/titanic/underwater/oceanic expedition/imax,3.7142857142857135,24982
345,346,Jaws,1975,4.21,US,Horror/Thriller/Adventure,7000000.0,470653000.0,based on novel or book/beach/fishing/atlantic ocean/bathing/shipwreck/shark attack/police chief/ferry boat/dying and death/long island/dead child/skinny dipping/shark/great white shark/dead dog/child killed by animal/severed leg/fishing boat/animal horror,3.797343616109683,578
346,347,Love Songs for Angels 2,1993,4.21,,,,,,,0
347,348,Love is Deja Bu,1993,4.21,,,,,,,0
348,349,Coach Carter,2005,4.21,DE,Drama,30000000.0,76669806.0,black people/autoritian education/sport/high school/scholarship/basketball/violence in schools/teacher/teachers and students,3.6909090909090914,7214
349,350,Rochefort Lover,1966,4.21,,,,,,,0
350,351,Dollar Series 2 Sunset Gunman,1965,4.21,,,,,,,0
351,352,Bakumatsu Taiyo,1957,4.21,JP,Comedy,0.0,0.0,,,125217
352,353,All of Eve,1950,4.21,,Horror,0.0,0.0,,,493494
353,354,Western,1936,4.21,AT,Drama,1800000.0,0.0,,,452000
354,355,Mercy! Life,2000,4.21,,,,,,,0
355,356,Reward of Terror,1977,4.21,,,,,,,0
356,357,Delicious Way to Kill,2006,4.21,,,,,,,0
357,358,To Orette,1970,4.21,,,,,,,0
358,359,Galileo Suspect X Dedication,4060,4.2,,,,,,,0
359,360,Chef Three Star Food Food Truck,2014,4.2,,,,,,,0
360,361,Matrix,1999,4.2,AU,Action/Science Fiction,63000000.0,463517383.0,saving the world/artificial intelligence/man vs machine/philosophy/prophecy/martial arts/self sacrifice/fight/insurgence/virtual reality/dystopia/truth/cyberpunk/dream world/woman director/messiah/gnosticism/trans director,4.1763401109057305,603
361,362,Gilbert Grape,1993,4.2,US,Romance/Drama,11000000.0,10032765.0,sibling relationship/mentally disabled/based on novel or book/iowa/widow/obesity/dysfunctional family/single mother/grocery store/mentally handicapped child,3.708826695371367,1587
362,363,Ping Pong,2002,4.2,JP,Comedy/Drama,0.0,0.0,ping pong/sport/independent film/based on manga/anime,,25675
363,364,50th First Kiss,2004,4.2,,,,,,,0
364,365,Indy Jones 2 Legend of the Magical Palace,1984,4.2,,,,,,,0
365,366,On the Cuckoo's Nest,1975,4.2,US,Drama,3000000.0,108981275.0,nurse/based on novel or book/oregon/lunatic asylum/friendship/hospital/female villain/shock treatment,4.235695708712614,510
366,367,Don't Forget the Titans,2000,4.2,,,,,,,0
367,368,Welcome to the Parade,2014,4.2,,Drama,0.0,0.0,"toronto, canada/illegal drugs",,436648
368,369,Papillon,1973,4.2,US,Crime/Drama,12000000.0,53267000.0,prison/prison escape/jungle/based on memoir or autobiography/labor camp/devil's island/prison brutality/guyana/1930s,3.9890350877192975,5924
369,370,The Wizard of Oz,1939,4.2,US,Adventure/Family/Fantasy,2777000.0,33754967.0,witch/adolescence/based on novel or book/secret identity/clock/dream/lion/tornado/twister/scarecrow/musical/crow/music/kansas/classic/imaginary land/cowardliness/monkey/female villain/wizard/sepia color/hourglass/wizard of oz/red shoes/l. frank baum/based on young adult novel,3.947518307567128,630
370,371,KAMIKAZE TAXI,1995,4.2,JP,Crime/Action,0.0,0.0,peru/kamikaze/gaijin/pan flute,,158217
371,372,Kiddy Grade Part 1: KIDDY GRADE -IGNITION- (Awakening),2007,4.76,,,,,,,0
372,373,Yuki Yuna is a brave man- Chapter of Sumi Hagio- Chapter 3 Yakusoku,2017,4.57,,,,,,,0
373,374,Girls & Panzer Theatrical version,2015,4.56,,,,,,,0
374,375,Lupine III 2 Castle of Cariostro,1979,4.56,,,,,,,0
375,376,Ghibli movie 1 Laputa Castle in the Sky,1986,4.55,,,,,,,0
376,377,Tayura-Graduation photo-Part 4 Morning-Tomorrow-,2016,4.55,,,,,,,0
377,378,Tayura-Graduation Photo-Part 2 Hibiki- Hibiki-,2015,4.55,,,,,,,0
378,379,Toy Story 3,2010,4.54,US,Animation/Family/Comedy,200000000.0,1066969703.0,hostage/college/toy/barbie/escape/day care/teddy bear/duringcreditsstinger/toy comes to life/personification/inanimate objects coming to life,4.042483660130719,10193
379,380,Jarinko Chie,1981,4.54,JP,Family/Animation/Comedy/Drama,0.0,0.0,,,70927
380,381,Tayura-Graduation Photo-Part 3 Longing-Longing-,2015,4.54,,,,,,,0
381,382,Sailor Moon R,1993,4.54,JP,Animation/Comedy/Drama/Romance,0.0,0.0,,,37100
382,383,Doraemon-Grandma's Memories,2000,4.53,,,,,,,0
383,384,No Game No Life Zero,2017,4.52,JP,Fantasy/Comedy/Animation,0.0,6000000.0,based on light novel/anime,,445030
384,385,Kureshin 9 Molet that calls the storm! Counterattack of the adult empire,2001,4.52,,,,,,,0
385,386,Kureshin 10 Appare to call the storm! Sengoku Taisen,2002,4.52,,,,,,,0
386,387,Redhead Anne Road to Green Gables,2010,4.52,,,,,,,0
387,388,Tamayura-Graduation Photo- Part 1 Bud -Kizashi-,2015,4.52,,,,,,,0
388,389,KING OF PRISM -PRIDE the HERO-,2017,4.51,JP,Animation,0.0,0.0,anime,,432058
389,390,"Ashishi Special Edition ""Suzu no Uta""",2015,4.51,,,,,,,0
390,391,Ghibli Movie 2 My Neighbor Totoro,1988,4.48,,,,,,,0
391,392,Magical Girl Lyrical Nanoha The MOVIE 2nd A's,2012,4.48,JP,Drama/Animation/Action/Comedy,0.0,4950633.0,super power/magical girl,,181522
392,393,Wanofu -one off-,2012,4.48,,,,,,,0
393,394,Arpeggio of Blue Steel -Ars Nova- Cadenza,2015,4.47,JP,Action/Science Fiction,0.0,0.0,based on manga/anime/young king ours,,357397
394,395,​​Movie version Nonnonbiyori Bakeshon,2018,4.47,,,,,,,0
395,396,Legendary Great God Ideon Trigger Edition,1982,4.47,,,,,,,0
396,397,Sound! Euphonium ~ Melody you want to deliver ~,2017,4.46,,,,,,,0
397,398,Card Captor Sakura Sealed Card,2000,4.46,,,,,,,0
398,399,Kureshin 22 Gachinko! Robo To-chan of Counterattack,2014,4.45,,,,,,,0
399,400,Hick and Dragon,2010,4.45,,,,,,,0
400,401,All Nintama Rantaro Ninjutsu Gakuen are dispatched!Nodan,2011,4.45,,,,,,,0
401,402,Magical Girl Lyrical Nanoha The MOVIE 1st,2009,4.44,JP,Animation/Adventure/Drama,0.0,2473891.0,magic,,50716
402,403,Aikatsu!,2014,4.44,JP,Animation,0.0,0.0,idol/music/shoujo/anime,,348289
403,404,KING OF PRISM by PrettyRhythm,2016,4.43,JP,Music/Animation,0.0,500.0,,,372764
404,405,Pokemon 1 Mewtwo Strikes Back,1998,4.43,JP,Action/Animation/Family,0.0,0.0,pokémon,,571891
405,406,Iron Giant,1999,4.42,US,Adventure/Animation/Family/Science Fiction/Comedy,70000000.0,23159305.0,cold war/friendship/giant robot/fear of unknown/1950s,3.8514739229024944,10386
406,407,ONE PIECE One Movie THE MOVIE Episode of Chopper,2008,4.41,,,,,,,0
407,408,Doraemon-Returned Doraemon,1998,4.41,,,,,,,0
408,409,Precure All Stars NewStage3 Eternal Friends,2014,4.4,,,,,,,0
409,410,Ghibli Movie 4 Kiki's Delivery Service,1989,4.39,,,,,,,0
410,411,RWBY Volume 3,2016,4.39,,Action/Animation,0.0,0.0,,,647728
411,412,Ghibli Movie 0 Nausicaa of the Valley of the Wind,1984,4.38,,,,,,,0
412,413,Wakakami is an elementary school student!,2018,4.38,,,,,,,0
413,414,Detective Conan 5 Countdown to Heaven,2001,4.38,JP,Crime/Animation/Action/Mystery/Drama,0.0,0.0,,,32022
414,415,Kureshin 4 Henderland's Great Adventure,1996,4.38,,,,,,,0
415,416,Mobile Suit Gundam III Touring Space,1982,4.38,,,,,,,0
416,417,Ghibli Movie 10 Hohokekyo My Neighbor Yamada,1998,4.37,,,,,,,0
417,418,planetarian ~ Star Man ~,2016,4.36,,,,,,,0
418,419,Detective Conan 4 Assassin in the Eyes,2000,4.36,,,,,,,0
419,420,August Symphony-Shibuya 2002-2003,2009,4.36,,,,,,,0
420,421,Kiriku and the Witch,1998,4.36,,,,,,,0
421,422,Cat wearing boots,1969,4.36,,,,,,,0
422,423,Toy Story 1,1995,4.35,US,Animation/Comedy/Family,30000000.0,373554033.0,martial arts/jealousy/toy/boy/friendship/bullying/elementary school/friends/rivalry/rescue/mission/walkie talkie/boy next door/new toy/neighborhood/toy comes to life/resourcefulness,3.959322693655119,862
423,424,PERSONA3 THE MOVIE ― # 4 Winter of Rebirth―,2015,4.35,,,,,,,0
424,425,Space Battleship Yamato 2199 5,2013,4.35,,Animation/Action/Science Fiction,0.0,0.0,,,118410
425,426,Aim for the Top ! Theatrical version,2006,4.35,,,,,,,0
426,427,Aladdin,1992,4.34,US,Animation/Family/Adventure/Fantasy/Romance,28000000.0,504050219.0,magic/parrot/musical/tiger/sultan/flying carpet/cartoon/princess/love/monkey/arab/aftercreditsstinger/genie/arabian nights/three wishes/animal sidekick/magic lamp,3.678671003717472,812
427,428,Macross F -Sayonara no Tsubasa-,2011,4.34,JP,Action/Animation/Romance,0.0,0.0,romance/mecha,,60964
428,429,Tengen Toppa Gurren Lagann Raden Hen,2009,4.34,,,,,,,0
429,430,Top Shot Koiganeko,2006,4.34,,,,,,,0
430,431,ARIA The AVVENIRE,2015,4.33,JP,Fantasy/Animation/Science Fiction,0.0,0.0,slice of life/anime,,375177
431,432,Lupine the Third 7th Dimensional Grave Marker,2014,4.33,,,,,,,0
432,433,Tsukiminoe,2008,4.33,,,,,,,0
433,434,Azure and Asmar,2006,4.33,,,,,,,0
434,435,High ☆ Speed ! ―Free! Starting Days―,2015,4.32,JP,Animation/Drama/Comedy,0.0,0.0,sport/slice of life/school/swimming/anime,,357416
435,436,Monsters Inc.,2001,4.32,US,Animation/Comedy/Family,115000000.0,562816256.0,monster/cheating/kidnapping/infant/villain/panic/energy supply/company/portal/rivalry/hijinks/best friend/scream/chameleon/parallel world/conveyor belt/invisibility/energy company/friend/conspirators,3.8658439490445864,585
436,437,Pokémon 5 The Guardian of the Water City Latias and Latios,2002,4.32,,,,,,,0
437,438,Pretty Cure All Stars DX (Deluxe) 3 Stay in the future! The world's first rainbow-colored flowers,2011,4.32,,,,,,,0
438,439,The world's first love -in the case of Takashi Yokozawa-,2014,4.32,,,,,,,0
439,440,BORUTO -NARUTO THE MOVIE-,2015,4.31,JP,Action/Comedy/Animation,0.0,0.0,anime/naruto/boruto,,347201
440,441,Galaxy Express 999,1979,4.31,JP,Adventure/Animation/Science Fiction,0.0,0.0,cyborg/space travel/revenge/space/transhumanism/train,,15227
441,442,Kureshin 26 Explosion Sheng! Kung Fu Boys ~ Ramen Ramen ~,2018,4.3,,,,,,,0
442,443,Kureshin 18 Super Dimension! The Ora Bride Calls the Storm,2010,4.3,,,,,,,0
443,444,Girls & Panzer Final Chapter Episode 1,2017,4.3,,,,,,,0
444,445,Zootopia,2016,4.29,US,Animation/Adventure/Family/Comedy,150000000.0,1023784195.0,allegory/lion/hippopotamus/fox/elephant/sheep/polar bear/bullying/moose/revenge/conspiracy/urban/female protagonist/cheetah/anthropomorphism/rabbit/rookie cop/missing person/racial prejudice/injustice/reconciliation/ram/stereotype/badger/discrimination/3d/police woman/yak/african buffalo/gazelle/three-toed sloth/arctic shrew/african elephant/honey badger/indian elephant/black jaguar/fennec fox/black rhinoceros/nine-banded armadillo,,269149
445,446,Rapunzel on the Tower,2010,4.29,,,,,,,0
446,447,Fate / stay night [Heaven's Feel] I.presage flower,2017,4.29,JP,Action/Animation/Drama/Fantasy,0.0,8569623.0,japan/fight/magic/supernatural/anime,,283984
447,448,Black Butler Book of the Atlantic,2017,4.29,,Action/Comedy/Fantasy/Animation,0.0,0.0,anime,,432131
448,449,Detective Conan 6 Ghost in Baker Street,2002,4.29,,,,,,,0
449,450,Tomorrow's Joe 2,1981,4.29,JP,Action,0.0,0.0,,,72505
450,451,Cardcaptor Sakura,1999,4.29,JP,Fantasy/Animation/Adventure,0.0,0.0,dream/magic/surrealism/clamp/shoujo,,26945
451,452,Kappa's Ku and Summer Vacation,2007,4.28,,,,,,,0
452,453,Beauty and the Beast (1991),1991,4.28,US,Romance/Family/Animation/Fantasy,25000000.0,377350553.0,prince/book/castle/rose/musical/princess/based on tv series/beast/belle,3.63628762541806,10020
453,454,Night of the Galaxy Railway,1985,4.28,,,,,,,0
454,455,The Incredible Family,2018,4.27,,,,,,,0
455,456,Ghibli Movie 3 Tomb of Fire Dripping,1988,4.27,,,,,,,0
456,457,Heart Catch Pretty Cure! Is it a fashion show in the city of flowers? ?,2010,4.27,,,,,,,0
457,458,Soreike! Anpanman 16 Doryi of the Star of Life,2006,4.27,,,,,,,0
458,459,Space Brothers # 0 (Number Zero),2014,4.26,,,,,,,0
459,460,Ghibli Movie 9 Princess Mononoke,1997,4.25,,,,,,,0
460,461,Ghibli Movie 6 Pig of Red,1992,4.25,,,,,,,0
461,462,Yowamushi Pedal SPARE BIKE,2016,4.24,JP,Animation,0.0,0.0,anime,,403895
462,463,Beauty and the Beast,1946,4.24,US,Romance/Family/Animation/Fantasy,25000000.0,377350553.0,prince/book/castle/rose/musical/princess/based on tv series/beast/belle,3.63628762541806,10020
463,464,Doraemon-Shin Nobita and the Iron Soldiers -Habatake Angels-,2011,4.23,,,,,,,0
464,465,Detective Conan 7 Crossroads of the Labyrinth,2003,4.23,,,,,,,0
465,466,Detective Conan 3 Magician at the end of the century,1999,4.23,,,,,,,0
466,467,Sugar Rush,2012,4.22,GB,Documentary,0.0,0.0,diet/junk food/food/food industry/food issues/sugar,,358003
467,468,Yu-Gi-Oh! THE DARK SIDE OF DIMENSIONS,2016,4.22,JP,Adventure/Animation,0.0,1015339.0,anime,,366170
468,469,Doraemon 7 Nobita and the Iron Troop,1986,4.22,,,,,,,0
469,470,Kureshin 5 Dark Tamatama Chase,1997,4.22,,,,,,,0
470,471,My name is Zucchini,2016,4.22,,,,,,,0
471,472,Cheburashka,1969,4.22,RU,Animation/Family,0.0,0.0,,,34859
472,473,Mobile Suit Gundam THE ORIGIN IV Eve of Destiny,2016,4.21,JP,Animation/Drama/Science Fiction/Action,0.0,0.0,space/mecha/gundam,,403850
473,474,Doraemon New Nobita's Great Devil-Peko and the Five Expedition,2014,4.21,,,,,,,0
474,475,Tinker Bell and the Legend of Shooting Stars,2014,4.21,,,,,,,0
475,476,If you listen,1995,4.2,CL,Documentary,0.0,0.0,,,547262
476,477,Farewell Space Battleship Yamato Ai no Senshi,1978,4.2,,,,,,,0
477,478,Dream is a cow doctor,2014,4.55,,,,,,,0
478,479,Minna no School,2014,4.54,,,,,,,0
479,480,Michael Jackson THIS IS IT,2009,4.52,US,Music/Documentary/Drama,60000000.0,0.0,pop star/music/concert/aftercreditsstinger/duringcreditsstinger,3.6,13576
480,481,Eiyan Satani,2015,4.51,,,,,,,0
481,482,Mr. Children REFLECTION,2015,4.5,,,0.0,0.0,,,351289
482,483,"Dogs, Cats and Humans",2009,4.5,,,,,,,0
483,484,"FOR REAL-Truth to the Baystars, the climax.",2016,4.49,,,,,,,0
484,485,Jesus Christ-Superstar Arena Tour 2012,2012,4.49,GB,Family/Music,0.0,0.0,rock star/singer/broadway musical,,143563
485,486,SHOGO HAMADA ON THE ROAD2015-2016 Traveling Songwriter,2018,4.48,,,,,,,0
486,487,Goto no Tora,2016,4.47,JP,Documentary/Drama/Family,0.0,0.0,family/udon,,485228
487,488,Stop Making Sense,1984,4.46,US,Documentary/Music,1200000.0,4978922.0,concert/cult film/new wave/talking heads,4.142857142857143,24128
488,489,The night when Ozaki manager cried DOCUMENTARY of HKT48,2015,4.45,,,,,,,0
489,490,WE ARE Perfume -WORLD TOUR 3rd DOCUMENT,2015,4.45,JP,Music,0.0,0.0,dance/house/j-pop,,437961
490,491,Young @ Heart,2007,4.43,US,Documentary,0.0,0.0,loss of loved one/massachusetts/choir/musical/rock/music video/profanity/cancer/woman director,3.772727272727273,21182
491,492,First Position Dance to the Dream!,2011,4.43,,,,,,,0
492,493,David Bowie Is,2013,4.42,GB,Documentary/Music,0.0,0.0,,,197393
493,494,The story of a butcher shop,2013,4.39,,,,,,,0
494,495,Life Fruit,2016,4.37,,Documentary,0.0,0.0,japan/nature,,512350
495,496,A man with a rainbow over the River Kwai,2016,4.37,,,,,,,0
496,497,Naoto Intiraymi's Adventures Book of Travels Diary,2013,4.36,,,,,,,0
497,498,Ototoki,2017,4.34,JP,Documentary/Music,0.0,0.0,,,544815
498,499,Start Line,2016,4.34,,Documentary,0.0,0.0,,,456313
499,500,Miri Kitani Cat,2006,4.32,,,,,,,0
500,501,Battle of Algiers,1966,4.32,IT,Drama/War/History,800000.0,921548.0,bomb/muslim/resistance/revolution/algerian/independence/insurrection/government/torture/united nations/underground fighting/algiers/military/casbah/battle of algiers/struggle for independence,3.9754098360655736,17295
501,502,"Dancer, Sergei Polunin The world's most elegant wild beast",2016,4.31,,,,,,,0
502,503,Walking to Lhasa -2400km of prayer,2015,4.3,,,,,,,0
503,504,The Rolling Stones Shine A Light,2008,4.29,GB,Documentary/Music,0.0,0.0,new york/movie business/legend/song/public/rolling stones/rock/guest/music/concert/theatre milieu,3.111111111111111,7944
504,505,Bill Cunningham & New York,2010,4.29,US,Documentary,0.0,1339650.0,"fashion/manhattan, new york city/milliner/new york city ballet/poncho/haute couture/hat shop/traffic/new york times/landlord tenant relationship/le carousel du louvre paris/tearing up a bank check ",3.8333333333333335,55244
505,506,Broadway ♪ Broadway Dreams on the Chorus Line,2008,4.28,,,,,,,0
506,507,Wangsei House,2015,4.27,,,,,,,0
507,508,WE ARE X,2016,4.26,GB,Music/Documentary,0.0,0.0,rock band/japanese music,,376391
508,509,Exit Through The Gift Shop,2010,4.26,GB,Documentary,0.0,4790751.0,graffiti/fraud/cousin/painting/street artist/prank/fame/eccentric/art/art gallery/modern art,4.04375,39452
509,510,Promise Nabari Poison Wine Case Life of Death Prisoner,2012,4.22,,,,,,,0
